split,subject,stratum,responder_strength,macro_f1,k
loso,22,1,5.0353007316589355,0.4166666666666667,3
loso,24,0,4.067410469055176,0.6666666666666666,3
loso,25,0,3.466282367706299,0.3333333333333333,3
loso,27,1,4.950122833251953,0.5833333333333334,3
loso,28,0,3.468705415725708,0.6666666666666666,3
loso,29,2,9.991820335388184,0.4166666666666667,3
loso,30,1,5.666553497314453,0.5833333333333334,3
loso,34,2,7.020632266998291,0.5833333333333334,3
loso,36,0,4.1647515296936035,0.5,3
loso,37,0,3.55100154876709,0.5,3
loso,41,2,6.754418849945068,0.6666666666666666,3
loso,42,2,8.899688720703125,0.6666666666666666,3
loso,43,1,5.403414726257324,0.5,3
loso,44,0,4.567148208618164,0.6666666666666666,3
loso,45,1,4.966814994812012,0.5,3
loso,46,0,3.136904239654541,0.5,3
loso,47,2,8.70332145690918,0.5833333333333334,3
loso,48,1,5.387817859649658,0.4166666666666667,3
loso,49,1,5.741820335388184,0.6666666666666666,3
loso,52,0,4.7716965675354,0.5833333333333334,3
loso,53,0,3.805508613586426,0.5833333333333334,3
loso,55,0,4.2115397453308105,0.4166666666666667,3
loso,56,0,3.5431220531463623,0.3333333333333333,3
loso,57,1,5.192074298858643,0.4166666666666667,3
loso,58,2,6.940463542938232,0.4166666666666667,3
loso,59,2,6.267582893371582,0.75,3
loso,60,0,4.816225051879883,0.5,3
loso,63,1,4.817370414733887,0.4166666666666667,3
val,7,2,13.883086204528809,0.5,3
val,9,2,16.824832916259766,0.5,3
val,10,1,6.082812309265137,0.4166666666666667,3
val,14,0,3.967384099960327,0.5833333333333334,3
val,19,2,11.72419261932373,0.4166666666666667,3
val,35,0,4.105310440063477,0.5,3
val,38,0,3.8232855796813965,0.5,3
val,39,2,9.087468147277832,0.6666666666666666,3
val,40,0,4.617848873138428,0.5833333333333334,3
val,61,0,4.148331165313721,0.5833333333333334,3
val,62,1,5.286617755889893,0.5,3
val,65,0,4.017488479614258,0.4166666666666667,3
